,strike,bid,ask
0,55.0,0.0,0.11
1,60.0,0.0,0.01
2,65.0,0.0,0.01
3,70.0,0.0,0.01
4,75.0,0.0,0.01
5,80.0,0.0,0.01
6,85.0,0.0,0.01
7,90.0,0.0,0.01
8,95.0,0.01,0.02
9,100.0,0.01,0.03
10,105.0,0.02,0.03
11,110.0,0.03,0.04
12,115.0,0.04,0.05
13,120.0,0.06,0.07
14,125.0,0.1,0.11
15,130.0,0.17,0.18
16,135.0,0.35,0.36
17,140.0,0.75,0.77
18,145.0,1.66,1.67
19,150.0,3.4,3.5
20,155.0,6.3,6.45
21,160.0,10.1,10.3
22,165.0,14.55,14.8
23,170.0,19.4,19.7
24,175.0,24.5,24.75
25,180.0,29.5,29.75
26,185.0,34.5,34.75
27,190.0,39.35,39.7
